Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,1328725,0,1391366,0,0,676355,0,0,0,0,0,0,0,0,0,0,0,0,0,330000,0
Sr. Renzo Trisotti,UDI,,0,98616,2119538,335759,0,541935,15100,0,0,2380,0,0,0,0,0,0,0,0,0,333333,21970
Sr. Jorge Alessandri,UDI,,1170028,90124,1737079,5058,0,325161,0,-1590,31657,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Boris Barrera,PC,,0,71966,532538,0,0,474194,0,0,0,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Alejandro Bernales,LIBERAL,,0,0,1468126,0,0,677506,0,34900,8019,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Jorge Brito,RD,,596180,113420,338378,566088,0,587097,0,0,11290,0,0,0,0,0,0,68865,0,0,0,333333,0
Sr. Miguel Ángel Calisto,DC,,910988,0,1637071,638175,0,0,0,0,9519,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Álvaro Carter,UDI,,8581,41291,621541,0,0,1117935,27968,261970,152320,0,80000,57310,0,0,0,0,0,0,0,332620,0
Sr. José Miguel Castro,RN,,0,94045,1368149,0,0,1201451,37480,0,14548,49600,0,0,0,0,0,0,0,0,0,333333,0
Sr. Andrés Celis,RN,,1416054,68063,1350795,329695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333333,0
Sra. Sofía Cid,RN,,0,0,1573967,685956,0,0,0,0,53694,0,0,0,0,0,0,0,0,0,0,333333,0
Sra. Catalina Del Real,RN,,214017,94307,1577355,0,0,0,0,0,61410,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Jorge Durán,RN,,1454671,221009,856969,486176,0,0,0,0,5372,0,0,0,0,0,0,0,0,0,0,333320,0
Sr. Eduardo Durán,RN,,1351979,100467,910655,0,0,986111,0,0,0,5697,0,0,0,0,0,0,0,0,0,0,0
Sra. Camila Flores,RN,,1522000,103677,1238927,604908,0,0,0,0,2219,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Juan Fuenzalida,UDI,,400000,0,1154517,685986,0,0,0,553580,0,7648,0,0,0,0,0,880635,0,0,0,333333,0
Sr. Félix González,PEV,,14567,155809,1021737,0,0,912903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sra. Carmen Hertz,PC,,450282,72817,157242,0,0,855323,0,860950,24904,0,50000,0,0,0,0,0,0,0,0,333333,0
Sr. Tomás Hirsch,IND,,1459496,177608,866154,0,0,0,0,0,53209,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Diego Ibáñez,PCS,,1596299,0,153935,0,0,1012096,44269,0,0,0,0,0,0,0,0,0,0,0,0,333333,0
Sr. Marcos Ilabaca,PS,,451971,0,198494,0,0,575806,0,0,0,8697,0,0,0,0,0,0,0,0,0,333333,0
